accession	tier	subtree_annotations	evidence_codes
P07942	2		
P07951	1	GO:0005862(TAS:ProtInc)	TAS
P07954	2		
P08123	2		
P08133	2		
P08134	2		
P08174	2		
P08185	2		
P08195	2		
P08236	2		
P08237	2		
P08238	2		
P08240	2		
P08243	2		
P08253	1	GO:0030017(IEA:Ensembl)	IEA
P08311	2		
P08473	2		
P08559	2		
P08572	2		
P08574	2		
P08579	2		
P08590	1	GO:0031672(IDA:BHF-UCL);GO:0031674(IDA:BHF-UCL);GO:0030017(TAS:BHF-UCL)	IDA;TAS
P08603	2		
P08621	2		
P08651	2		
P08670	2		
P08697	2		
P08708	2		
P08727	1	GO:0043034(IDA:UniProtKB);GO:0030018(IEA:Ensembl)	IDA;IEA
P08754	2		
P08758	2		
P08962	2		
P09001	2		
P09012	2		
P09104	2		
P09110	2		
P09211	2		
P09234	2		
P09382	2		
P09417	2		
P09429	2		
P09486	2		
P09488	2		
P09493	1	GO:0005862(TAS:ProtInc);GO:0030017(TAS:BHF-UCL)	TAS
P09496	2		
P09497	2		
P09525	2		
P09543	2		
P09601	2		
P09619	2		
P09622	2		
P09651	2		
P09661	2		
P09669	2		
P09874	2		
P09913	2		
P09914	2		
P09936	2		
P09960	2		
P09972	2		
P0C0S5	2		
P0C7P4	2		
P0CAP1	1	GO:0031674(ISS:UniProtKB);GO:0030018(IEA:UniProtKB-SubCell)	IEA;ISS
P0CAP2	1	GO:0031674(IBA:GO_Central)	IBA
P0CF74	2		
P0CG04	2		
P0CG30	2		
P0CG47	2		
P0CG48	2		
P0DJ93	2		
P0DME0	2		
P0DMV8	2		
P0DMV9	2		
P0DOY2	2		
P0DOY3	2		
P0DP23	1	GO:0030017(IDA:BHF-UCL)	IDA
P0DP24	1	GO:0030017(IDA:BHF-UCL)	IDA
P0DP25	1	GO:0030017(IDA:BHF-UCL)	IDA
P0DP58	2		
P0DPI2	2		
P0DUB6	2		
P10109	2		
P10155	2		
P10163	2		
P10176	2		
P10253	2		
P10301	2		
P10398	2		
P10412	2		
P10415	2		
P10515	2		
P10599	2		
P10606	2		
P10619	2		
P10636	2		
P10644	2		
P10768	2		
P10809	2		
P10909	2		
P10915	2		
P10916	1	GO:0031672(IEA:UniProtKB-SubCell);GO:0097512(IDA:CAFA);GO:0030016(IBA:GO_Central);GO:0030017(TAS:BHF-UCL)	IBA;IDA;IEA;TAS
P11021	2		
P11047	2		
P11055	1	GO:0030017(NAS:BHF-UCL)	NAS
P11137	2		
P11142	2		
P11166	1	GO:0030018(IEA:Ensembl)	IEA
P11171	2		
P11172	2		
P11177	2		
P11182	2		
P11216	2		
P11217	2		
P11233	2		
P11234	2		
P11277	2		
P11279	2		
P11310	2		
P11387	2		
P11413	2		
P11532	1	GO:0043034(IDA:UniProtKB);GO:0030018(ISS:BHF-UCL)	IDA;ISS
P11586	2		
P11717	2		
P11766	2		
P11908	2		
P11940	2		
P12004	2		
P12081	2		
P12109	1	GO:0030016(IEA:Ensembl)	IEA
P12110	2		
P12111	2		
P12235	2		
P12236	2		
P12268	2		
P12270	2		
P12273	2		
P12277	2		
P12429	2		
P12694	2		
