accession	tier	subtree_annotations	evidence_codes
Q13496	1	GO:0031674(IEA:Ensembl)	IEA
Q13501	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
Q13554	2	GO:0033017(IEA:UniProtKB-SubCell)	IEA
Q13555	2	GO:0033017(IEA:UniProtKB-SubCell)	IEA
Q13557	2	GO:0033017(IEA:UniProtKB-SubCell)	IEA
Q13586	2	GO:0016529(EXP:UniProtKB);GO:0033017(IDA:UniProtKB)	EXP;IDA
Q13643	1	GO:0030018(IBA:GO_Central)	IBA
Q13698	1	GO:0031674(IDA:UniProtKB)	IDA
Q13813	1	GO:0030018(IEA:Ensembl)	IEA
Q13936	1	GO:0030018(ISS:BHF-UCL)	ISS
Q14118	1	GO:0043034(IEA:Ensembl)	IEA
Q14192	1	GO:0030018(IBA:GO_Central)	IBA
Q14315	1	GO:0043034(TAS:BHF-UCL);GO:0030018(IEA:UniProtKB-SubCell)	IEA;TAS
Q14315	2	GO:0016528(IEA:Ensembl)	IEA
Q14324	1	GO:0031430(IBA:GO_Central)	IBA
Q14331	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q14524	1	GO:0030018(IDA:UniProtKB)	IDA
Q14571	2	GO:0016529(IBA:GO_Central);GO:0033017(IMP:BHF-UCL)	IBA;IMP
Q14573	2	GO:0016529(IBA:GO_Central)	IBA
Q14596	1	GO:0031430(IEA:UniProtKB-SubCell)	IEA
Q14643	2	GO:0016529(IBA:GO_Central)	IBA
Q14896	1	GO:0031672(IDA:BHF-UCL);GO:0014705(NAS:BHF-UCL);GO:0097512(IDA:CAFA);GO:0031430(IBA:GO_Central);GO:0030017(IDA:BHF-UCL);GO:0005863(IDA:BHF-UCL)	IBA;IDA;NAS
Q14BN4	1	GO:0031430(IEA:UniProtKB-SubCell);GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q15124	1	GO:0043034(IDA:UniProtKB);GO:0030018(IEA:Ensembl)	IDA;IEA
Q15139	1	GO:0030018(IEA:Ensembl)	IEA
Q15149	1	GO:0043034(TAS:BHF-UCL);GO:0030018(IEA:Ensembl)	IEA;TAS
Q15149	2	GO:0016528(ISS:BHF-UCL)	ISS
