gene	outcome	accessions	matched_by	uniprot_primary_symbol
C8orf82	member	Q6P1X6	primary	C8orf82
C9	member	P02748	primary	C9
C9orf64	member	Q5T6V5	synonym	QNG1
C9orf89	member	Q96LW7	synonym	CARD19
CA1	member	P00915	primary	CA1
CA14	member	Q9ULX7	primary	CA14
CA2	member	P00918	primary	CA2
CA3	in_tier1	P07451	primary	CA3
CAB39	member	Q9Y376	primary	CAB39
CAB39L	member	Q9H9S4	primary	CAB39L
CACNA1S	in_tier1	Q13698	primary	CACNA1S
CACNA2D1	member	P54289	primary	CACNA2D1
CACNB1	member	Q02641	primary	CACNB1
CACNB3	member	P54284	primary	CACNB3
CACNG1	member	Q06432	primary	CACNG1
CACNG6	ambiguous	Q8WXS5;Q9BXT2		
CACYBP	member	Q9HB71	primary	CACYBP
CAD	ambiguous	O76075;P27708;Q05682		
CALCOCO1	member	Q9P1Z2	primary	CALCOCO1
CALD1	in_tier1	Q05682	primary	CALD1
CALM1	in_tier1	P0DP23	primary	CALM1
CALM2	in_tier1	P0DP24	primary	CALM2
CALML3	member	P27482	primary	CALML3
CALML5	member	Q9NZT1	primary	CALML5
CALR	member	P27797	primary	CALR
CALU	member	O43852	primary	CALU
CAMK1	member	Q14012	primary	CAMK1
CAMK2A	member	Q9UQM7	primary	CAMK2A
CAMK2B	member	Q13554	primary	CAMK2B
CAMK2D	member	Q13557	primary	CAMK2D
CAMK2G	member	Q13555	primary	CAMK2G
CAMLG	member	P49069	primary	CAMLG
CAND1	member	Q86VP6	primary	CAND1
CAND2	member	O75155	primary	CAND2
CANX	member	P27824	primary	CANX
CAP1	member	Q01518	primary	CAP1
CAP2	member	P40123	primary	CAP2
CAPG	ambiguous	P40121;Q9BPX3		
CAPN1	member	P07384	primary	CAPN1
CAPN2	member	P17655	primary	CAPN2
CAPN3	in_tier1	P20807	primary	CAPN3
CAPN7	member	Q9Y6W3	primary	CAPN7
CAPNS1	member	P04632	primary	CAPNS1
CAPRIN1	member	Q14444	primary	CAPRIN1
CAPZA1	member	P52907	primary	CAPZA1
CAPZA2	member	P47755	primary	CAPZA2
CAPZB	in_tier1	P47756	primary	CAPZB
CARKD	member	Q8IW45	synonym	NAXD
CARM1	member	Q86X55	primary	CARM1
CARNS1	member	A5YM72	primary	CARNS1
CARS	member	P49589	synonym	CARS1
CARS2	member	Q9HA77	primary	CARS2
CASK	ambiguous	O14936;P07498		
CASKIN2	member	Q8WXE0	primary	CASKIN2
CASP14	member	P31944	primary	CASP14
CASP7	member	P55210	primary	CASP7
CASQ1	in_tier1	P31415	primary	CASQ1
CASQ2	in_tier1	O14958	primary	CASQ2
CAST	ambiguous	O15446;P20810		
CAT	ambiguous	P04040;Q6IB77		
CAV1	member	Q03135	primary	CAV1
CAV3	in_tier1	P56539	primary	CAV3
CBR1	member	P16152	primary	CBR1
CBR3	member	O75828	primary	CBR3
CBR4	member	Q8N4T8	primary	CBR4
CBS	member	P35520	primary	CBS
CBX3	member	Q13185	primary	CBX3
CBX5	member	P45973	primary	CBX5
CC2D1A	member	Q6P1N0	primary	CC2D1A
CCAR1	member	Q8IX12	primary	CCAR1
CCAR2	member	Q8N163	primary	CCAR2
CCBL2	member	Q6YP21	synonym	KYAT3
CCDC12	member	Q8WUD4	primary	CCDC12
CCDC124	member	Q96CT7	primary	CCDC124
CCDC127	member	Q96BQ5	primary	CCDC127
CCDC132	member	Q96JG6	synonym	VPS50
CCDC14	member	Q49A88	primary	CCDC14
CCDC141	member	Q6ZP82	primary	CCDC141
CCDC146	member	Q8IYE0	primary	CCDC146
CCDC22	member	O60826	primary	CCDC22
CCDC38	member	Q502W7	primary	CCDC38
CCDC43	member	Q96MW1	primary	CCDC43
CCDC47	member	Q96A33	primary	CCDC47
CCDC50	member	Q8IVM0	primary	CCDC50
CCDC51	member	Q96ER9	primary	CCDC51
CCDC58	member	Q4VC31	synonym	MIX23
CCDC6	member	Q16204	primary	CCDC6
CCDC91	member	Q7Z6B0	primary	CCDC91
CCDC93	member	Q567U6	primary	CCDC93
CCNT1	member	O60563	primary	CCNT1
CCS	member	O14618	primary	CCS
CCT2	member	P78371	primary	CCT2
CCT3	member	P49368	primary	CCT3
CCT4	member	P50991	primary	CCT4
CCT5	member	P48643	primary	CCT5
CCT6A	member	P40227	primary	CCT6A
CCT6B	member	Q92526	primary	CCT6B
CCT7	member	Q99832	primary	CCT7
CCT8	member	P50990	primary	CCT8
CD109	member	Q6YHK3	primary	CD109
CD151	member	P48509	primary	CD151
CD163	member	Q86VB7	primary	CD163
CD248	member	Q9HCU0	primary	CD248
CD36	member	P16671	primary	CD36
CD38	member	P28907	primary	CD38
CD44	member	P16070	primary	CD44
CD46	member	P15529	primary	CD46
CD55	member	P08174	primary	CD55
CD58	member	P19256	primary	CD58
CD59	member	P13987	primary	CD59
CD63	member	P08962	primary	CD63
CD81	member	P60033	primary	CD81
CD93	member	Q9NPY3	primary	CD93
CD99	member	P14209	primary	CD99
CD99L2	member	Q8TCZ2	primary	CD99L2
CDC37	member	Q16543	primary	CDC37
CDC42	member	P60953	primary	CDC42
CDC42BPA	member	Q5VT25	primary	CDC42BPA
CDC42BPB	member	Q9Y5S2	primary	CDC42BPB
CDC42EP1	member	Q00587	primary	CDC42EP1
CDC5L	member	Q99459	primary	CDC5L
CDH11	member	P55287	primary	CDH11
CDH13	member	P55290	primary	CDH13
