accession	tier	subtree_annotations	evidence_codes
P25786	erythrocytes		
P25787	erythrocytes		
P25788	erythrocytes		
P25789	erythrocytes		
P25815	erythrocytes		
P26038	erythrocytes		
P26373	erythrocytes		
P26447	erythrocytes		
P26599	erythrocytes		
P26639	erythrocytes		
P26640	erythrocytes		
P26641	erythrocytes		
P26885	erythrocytes		
P26927	plasma		
P27105	erythrocytes		
P27169	plasma		
P27348	erythrocytes		
P27448	erythrocytes		
P27449	erythrocytes		
P27482	erythrocytes		
P27635	erythrocytes		
P27701	erythrocytes		
P27708	erythrocytes		
P27797	erythrocytes		
P27816	erythrocytes		
P27824	erythrocytes		
P27918	plasma		
P28062	erythrocytes		
P28066	erythrocytes		
P28070	erythrocytes		
P28072	erythrocytes		
P28074	erythrocytes		
P28161	erythrocytes		
P28289	erythrocytes		
P28482	erythrocytes		
P28715	erythrocytes		
P28838	erythrocytes		
P28907	erythrocytes		
P29144	erythrocytes		
P29401	erythrocytes		
P29622	plasma		
P29692	erythrocytes		
P29972	erythrocytes		
P29992	erythrocytes		
P30040	erythrocytes		
P30041	erythrocytes		
P30043	erythrocytes		
P30044	erythrocytes		
P30046	erythrocytes		
P30048	erythrocytes		
P30050	erythrocytes		
P30085	erythrocytes		
P30086	erythrocytes		
P30101	erythrocytes		
P30153	erythrocytes		
P30154	erythrocytes		
P30536	erythrocytes		
P30566	erythrocytes		
P30613	erythrocytes		
P30622	erythrocytes		
P30626	erythrocytes		
P30711	erythrocytes		
P30740	erythrocytes		
P30825	erythrocytes		
P31150	erythrocytes		
P31151	erythrocytes		
P31153	erythrocytes		
P31321	erythrocytes		
P31323	erythrocytes		
P31327	erythrocytes		
P31327	plasma		
P31930	erythrocytes		
P31939	erythrocytes		
P31942	erythrocytes		
P31943	erythrocytes		
P31944	erythrocytes		
P31944	plasma		
P31946	erythrocytes		
P31947	erythrocytes		
P31948	erythrocytes		
P31949	erythrocytes		
P32119	erythrocytes		
P32119	plasma		
P32121	erythrocytes		
P32856	erythrocytes		
P32942	erythrocytes		
P32969	erythrocytes		
P33121	erythrocytes		
P33151	plasma		
P33176	erythrocytes		
P33527	erythrocytes		
P33908	plasma		
P33947	erythrocytes		
P34896	erythrocytes		
P34931	erythrocytes		
P34932	erythrocytes		
P35030	erythrocytes		
P35232	erythrocytes		
P35236	erythrocytes		
P35240	erythrocytes		
P35241	erythrocytes		
P35268	erythrocytes		
P35325	erythrocytes		
P35542	plasma		
P35579	erythrocytes		
P35580	erythrocytes		
P35606	erythrocytes		
P35611	erythrocytes		
P35612	erythrocytes		
P35613	erythrocytes		
P35670	erythrocytes		
P35749	erythrocytes		
P35754	erythrocytes		
P35813	erythrocytes		
P35858	plasma		
P35998	erythrocytes		
P36507	erythrocytes		
P36543	erythrocytes		
P36551	erythrocytes		
P36578	erythrocytes		
P36639	erythrocytes		
P36871	erythrocytes		
P36873	erythrocytes		
P36915	erythrocytes		
P36955	plasma		
P36957	erythrocytes		
P36959	erythrocytes		
P36980	plasma		
P37802	erythrocytes		
P37837	erythrocytes		
P37840	erythrocytes		
P38159	erythrocytes		
P38405	erythrocytes		
P38606	erythrocytes		
P38646	erythrocytes		
P38919	erythrocytes		
P39019	erythrocytes		
P39023	erythrocytes		
P39656	erythrocytes		
P39687	erythrocytes		
P40227	erythrocytes		
P40306	erythrocytes		
P40429	erythrocytes		
P40925	erythrocytes		
P40926	erythrocytes		
P40939	erythrocytes		
P41091	erythrocytes		
P41214	erythrocytes		
P41222	plasma		
P41440	erythrocytes		
P42025	erythrocytes		
P42285	erythrocytes		
P42330	erythrocytes		
P42345	erythrocytes		
P42356	erythrocytes		
P42566	erythrocytes		
P42574	erythrocytes		
P42677	erythrocytes		
P42766	erythrocytes		
P42858	erythrocytes		
P43034	erythrocytes		
P43155	erythrocytes		
P43250	erythrocytes		
P43251	erythrocytes		
P43251	plasma		
P43307	erythrocytes		
P43308	erythrocytes		
P43353	erythrocytes		
P43378	erythrocytes		
P43405	erythrocytes		
P43487	erythrocytes		
P43490	erythrocytes		
P43652	plasma		
P43686	erythrocytes		
P45880	erythrocytes		
P45974	erythrocytes		
P46019	erythrocytes		
P46060	erythrocytes		
P46100	erythrocytes		
P46108	erythrocytes		
P46109	erythrocytes		
P46199	erythrocytes		
P46379	erythrocytes		
P46459	erythrocytes		
P46734	erythrocytes		
P46736	erythrocytes		
P46776	erythrocytes		
P46777	erythrocytes		
