accession	tier	subtree_annotations	evidence_codes
P46778	erythrocytes		
P46779	erythrocytes		
P46781	erythrocytes		
P46782	erythrocytes		
P46783	erythrocytes		
P46926	erythrocytes		
P46934	erythrocytes		
P46940	erythrocytes		
P46976	erythrocytes		
P46977	erythrocytes		
P47755	erythrocytes		
P47756	erythrocytes		
P47813	erythrocytes		
P47897	erythrocytes		
P47914	erythrocytes		
P48029	erythrocytes		
P48047	erythrocytes		
P48147	erythrocytes		
P48426	erythrocytes		
P48444	erythrocytes		
P48449	erythrocytes		
P48506	erythrocytes		
P48507	erythrocytes		
P48509	erythrocytes		
P48556	erythrocytes		
P48637	erythrocytes		
P48643	erythrocytes		
P48729	erythrocytes		
P48735	erythrocytes		
P48739	erythrocytes		
P48740	plasma		
P49006	erythrocytes		
P49184	erythrocytes		
P49189	erythrocytes		
P49207	erythrocytes		
P49247	erythrocytes		
P49257	erythrocytes		
P49281	erythrocytes		
P49321	erythrocytes		
P49327	erythrocytes		
P49368	erythrocytes		
P49407	erythrocytes		
P49588	erythrocytes		
P49589	erythrocytes		
P49591	erythrocytes		
P49593	erythrocytes		
P49683	erythrocytes		
P49720	erythrocytes		
P49721	erythrocytes		
P49736	erythrocytes		
P49747	plasma		
P49754	erythrocytes		
P49755	erythrocytes		
P49768	erythrocytes		
P49770	erythrocytes		
P49773	erythrocytes		
P49840	erythrocytes		
P49888	erythrocytes		
P49913	plasma		
P49915	erythrocytes		
P49959	erythrocytes		
P50148	erythrocytes		
P50395	erythrocytes		
P50402	erythrocytes		
P50416	erythrocytes		
P50454	erythrocytes		
P50502	erythrocytes		
P50552	erythrocytes		
P50570	erythrocytes		
P50579	erythrocytes		
P50748	erythrocytes		
P50895	erythrocytes		
P50914	erythrocytes		
P50990	erythrocytes		
P50991	erythrocytes		
P51148	erythrocytes		
P51149	erythrocytes		
P51570	erythrocytes		
P51571	erythrocytes		
P51610	erythrocytes		
P51617	erythrocytes		
P51665	erythrocytes		
P51692	erythrocytes		
P51784	erythrocytes		
P51790	erythrocytes		
P51809	erythrocytes		
P51811	erythrocytes		
P51812	erythrocytes		
P51858	erythrocytes		
P51884	plasma		
P51991	erythrocytes		
P52209	erythrocytes		
P52272	erythrocytes		
P52292	erythrocytes		
P52294	erythrocytes		
P52298	erythrocytes		
P52306	erythrocytes		
P52565	erythrocytes		
P52566	erythrocytes		
P52594	erythrocytes		
P52597	erythrocytes		
P52788	erythrocytes		
P52815	erythrocytes		
P52888	erythrocytes		
P52907	erythrocytes		
P53004	erythrocytes		
P53041	erythrocytes		
P53384	erythrocytes		
P53396	erythrocytes		
P53602	erythrocytes		
P53611	erythrocytes		
P53618	erythrocytes		
P53621	erythrocytes		
P53675	erythrocytes		
P53680	erythrocytes		
P53985	erythrocytes		
P53990	erythrocytes		
P53992	erythrocytes		
P54105	erythrocytes		
P54108	plasma		
P54252	erythrocytes		
P54577	erythrocytes		
P54578	erythrocytes		
P54619	erythrocytes		
P54652	erythrocytes		
P54707	erythrocytes		
P54709	erythrocytes		
P54725	erythrocytes		
P54727	erythrocytes		
P54760	erythrocytes		
P54852	erythrocytes		
P54920	erythrocytes		
P55010	erythrocytes		
P55036	erythrocytes		
P55056	plasma		
P55058	plasma		
P55060	erythrocytes		
P55072	erythrocytes		
P55145	erythrocytes		
P55160	erythrocytes		
P55201	erythrocytes		
P55209	erythrocytes		
P55212	erythrocytes		
P55263	erythrocytes		
P55268	erythrocytes		
P55290	plasma		
P55786	erythrocytes		
P55808	erythrocytes		
P55884	erythrocytes		
P55899	erythrocytes		
P55957	erythrocytes		
P56537	erythrocytes		
P56557	erythrocytes		
P56589	erythrocytes		
P57088	erythrocytes		
P57737	erythrocytes		
P57738	erythrocytes		
P57764	erythrocytes		
P57772	erythrocytes		
P58546	erythrocytes		
P59666	erythrocytes		
P59768	erythrocytes		
P59998	erythrocytes		
P60059	erythrocytes		
P60174	erythrocytes		
P60228	erythrocytes		
P60468	erythrocytes		
P60510	erythrocytes		
P60520	erythrocytes		
P60660	erythrocytes		
P60709	erythrocytes		
P60709	plasma		
P60842	erythrocytes		
P60866	erythrocytes		
P60891	erythrocytes		
P60896	erythrocytes		
P60900	erythrocytes		
P60953	erythrocytes		
P60983	erythrocytes		
P61006	erythrocytes		
P61009	erythrocytes		
P61018	erythrocytes		
P61019	erythrocytes		
P61020	erythrocytes		
P61026	erythrocytes		
P61077	erythrocytes		
P61081	erythrocytes		
P61086	erythrocytes		
P61088	erythrocytes		
P61106	erythrocytes		
P61158	erythrocytes		
P61160	erythrocytes		
P61163	erythrocytes		
P61201	erythrocytes		
P61221	erythrocytes		
P61224	erythrocytes		
P61225	erythrocytes		
P61247	erythrocytes		
P61254	erythrocytes		
P61313	erythrocytes		
P61326	erythrocytes		
P61353	erythrocytes		
P61421	erythrocytes		
P61457	erythrocytes		
P61513	erythrocytes		
P61586	erythrocytes		
P61604	erythrocytes		
P61619	erythrocytes		
P61626	erythrocytes		
P61626	plasma		
P61758	erythrocytes		
P61764	erythrocytes		
