row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
2339	Q9Y3B3;Q86XR7-2;A0A0A6YYA0;Q9Y3B3-2;G3V2Y2	TMED7;TMED7-TICAM2	Q9Y3B3	1	member	1:Q9Y3B3:reviewed_human	0.000127
2340	Q9BVK6	TMED9	Q9BVK6	1	member	1:Q9BVK6:reviewed_human	0.001131
2341	K7EM07;Q96IK0	TMEM101	Q96IK0	2	member_via_later_token	1:K7EM07:unreviewed/9606; 2:Q96IK0:reviewed_human	0.000000
2342	Q9BVC6	TMEM109	Q9BVC6	1	member	1:Q9BVC6:reviewed_human	0.000042
2343	J3QSZ6;Q9NPI0	TMEM138	Q9NPI0	2	member_via_later_token	1:J3QSZ6:unreviewed/9606; 2:Q9NPI0:reviewed_human	0.000000
2344	Q9P0S9	TMEM14C	Q9P0S9	1	member	1:Q9P0S9:reviewed_human	0.000423
2345	Q9HC07;V9GY93;Q9HC07-2;V9GYC8	TMEM165	Q9HC07	1	member	1:Q9HC07:reviewed_human	0.000184
2346	Q8TBQ9	TMEM167A	Q8TBQ9	1	member	1:Q8TBQ9:reviewed_human	0.000000
2347	Q7Z7N9	TMEM179B	Q7Z7N9	1	member	1:Q7Z7N9:reviewed_human	0.000000
2348	Q6UW68;K7ELQ9;K7EM09;K7EPR0;K7ER05;K7EJQ9	TMEM205	Q6UW68	1	member	1:Q6UW68:reviewed_human	0.000675
2349	Q9H0R3;Q8TDQ4;H0Y870;H0Y861;Q5SSC2;H0Y8D0;Q9H0R3-2;H7C5C5	TMEM222	Q9H0R3	1	member	1:Q9H0R3:reviewed_human	0.000130
2350	Q96Q45;Q96Q45-5;Q96Q45-4;F2Z329	TMEM237	Q96Q45	1	member	1:Q96Q45:reviewed_human	0.000000
2351	Q96Q45-2;Q96Q45-3;A0A087WWU1	TMEM237	Q96Q45	1	member_duplicate_entry	1:Q96Q45:reviewed_human	0.000202
2352	Q9H330-2;Q9H330;Q9H330-4;H7C0G1;F8WBJ7;Q9H330-3	TMEM245	Q9H330	1	member	1:Q9H330:reviewed_human	0.000569
2353	Q9NV96;Q9NV96-2;Q9NV96-3;Q3MIR4	TMEM30A	Q9NV96	1	member	1:Q9NV96:reviewed_human	0.000100
2354	P57088;D6RAA6;H0Y8N0	TMEM33	P57088	1	member	1:P57088:reviewed_human	0.000000
2355	Q5BJD5;E9PJ42;Q5BJD5-3;Q5BJD5-2	TMEM41B	Q5BJD5	1	member	1:Q5BJD5:reviewed_human	0.000000
2356	Q9BTV4	TMEM43	Q9BTV4	1	member	1:Q9BTV4:reviewed_human	0.000000
2357	Q9NWC5;C9J9Z5;J3KQ06	TMEM45A	Q9NWC5	1	member	1:Q9NWC5:reviewed_human	0.000000
2358	O95807	TMEM50A	O95807	1	member	1:O95807:reviewed_human	0.000000
2359	F8WDH1;P56557;F8WBF4;C9K0I4	TMEM50B	P56557	2	member_via_later_token	1:F8WDH1:unreviewed/9606; 2:P56557:reviewed_human	0.000383
2360	Q86T03-2;Q86T03	TMEM55B	Q86T03	1	member	1:Q86T03:reviewed_human	0.000074
2361	Q96MV1;S4R434;S4R3V7;C9JJM2;C9J6J2	TMEM56;TMEM56-RWDD3	Q96MV1	1	member	1:Q96MV1:reviewed_human	0.000043
2362	Q5T3F8;Q5T3F8-3;Q5T3F8-2;H3BLW6;H0YCP6;E9PNG1	TMEM63B	Q5T3F8	1	member	1:Q5T3F8:reviewed_human	0.000470
2363	Q9NQ34;Q9NQ34-2	TMEM9B	Q9NQ34	1	member	1:Q9NQ34:reviewed_human	0.000000
2364	P28289;P28289-2;Q9NZQ9;Q9NZQ9-2	TMOD1	P28289	1	member	1:P28289:reviewed_human	0.051142
