row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
245	P10721;P10721-2;P10721-3	KIT	P10721	1	member	1:P10721:reviewed_human	0.000115
246	Q16853	AOC3	Q16853	1	member	1:Q16853:reviewed_human	0.000103
247	P11137;P11137-3;P11137-4;P11137-2;A8MZ31;E7EV03	MAP2	P11137	1	member	1:P11137:reviewed_human	0.000666
248	P08571;D6RFL4	CD14	P08571	1	member	1:P08571:reviewed_human	0.002230
249	B4E394;Q9UNW1	MINPP1	Q9UNW1	2	member_via_later_token	1:B4E394:unreviewed/9606; 2:Q9UNW1:reviewed_human	0.001107
250	Q96PD5;Q96PD5-2	PGLYRP2	Q96PD5	1	member	1:Q96PD5:reviewed_human	0.017027
251	P13591;P13591-3;P13591-1;H7BYX6;P13591-5;P13591-4;E9PLH7;P13591-6	NCAM1	P13591	1	member	1:P13591:reviewed_human	0.000212
252	O00533;O00533-2	CHL1	O00533	1	member	1:O00533:reviewed_human	0.000174
253	Q99784;F5H810;Q6IMJ5;Q99784-3;H0YFB9	OLFM1	Q99784	1	member	1:Q99784:reviewed_human	0.000593
254	Q96CV9;Q96CV9-3;Q96CV9-2	OPTN	Q96CV9	1	member	1:Q96CV9:reviewed_human	0.015255
255	O95497	VNN1	O95497	1	member	1:O95497:reviewed_human	0.000135
256	Q6UXB8;Q6UXB8-2	PI16	Q6UXB8	1	member	1:Q6UXB8:reviewed_human	0.002436
257	Q06830	PRDX1	Q06830	1	member	1:Q06830:reviewed_human	0.000821
258	P32119;A6NIW5	PRDX2	P32119	1	member	1:P32119:reviewed_human	0.000546
259	P04180	LCAT	P04180	1	member	1:P04180:reviewed_human	0.002114
260	P80108	GPLD1	P80108	1	member	1:P80108:reviewed_human	0.014599
261	P55058;B3KUE5;E7EV16;P55058-2	PLTP	P55058	1	member	1:P55058:reviewed_human	0.003948
262	Q9H5I5;Q9H5I5-4;D6RFZ0;Q9H5I5-3;Q9H5I5-2	PIEZO2	Q9H5I5	1	member	1:Q9H5I5:reviewed_human	0.000623
