# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T07:19:18Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 b749cc5e5bf629c1915129358361efc1aa878172745f26c4d0096727ae111265
# input.composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# input.fiber_type_mix = config/fiber_type_mix.ini sha256 522504713b45103d7110b7d14f03f9b6196f9b5b18707d262c4865cc2f74d4f8
# input.mhc_actin = outputs/intermediate/mass_fractions/classical_check_carroll_2004.tsv sha256 0b6e602857ecf49118ffadbcc8313d82395ef641f6d5042e6fa643fd1671071d
# input.band_families = outputs/intermediate/mass_fractions/band_families.tsv sha256 3c1644b6d60ae279cc9a8b196e23f7ee6b9911a2171b5bac85d4241e4d3097c6
# input.family_bounds = outputs/intermediate/mass_fractions/family_bounds.tsv sha256 26f0ac9d71d55f1173ea09d018ca0eb9f0503e51649951fc65d2ca09491b1cbc
# input.isoform_deltas = outputs/intermediate/protein_set/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/intermediate/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/intermediate/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/intermediate/mass_fractions/dataset_rows_outside_pool.tsv sha256 185af20197f6f86a894be30e12aafba5dea96b4ebf6d68178a44b6bb5ef7a876
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: total = every weighted entry under one denominator (D58); contractile and builders = the two tiers under their within-tier weights (D31); tiers are named, never numbered (D66).
# A6: the profile when the MHC band family (D52, cutoff 2) or the actin band family is rescaled so MHC:actin equals each ratio the methods measured; the ratio labelled ibaq_x_mw_within_tier1 (the table's own label for this repository's contractile-set measurement) reproduces the standard;
# no method is a reference for another; the other sources' slow/fast pools are placed against the gel's fiber types as classical_check_carroll_2004.tsv places them; types I and IIa only — no factor is invented for IIx
profile	fiber_type	convention	ratio_source	mhc_to_actin_target	mhc_to_actin_before_scaling	way	frac_A	frac_C	frac_D	frac_E	frac_F	frac_G	frac_H	frac_I	frac_K	frac_L	frac_M	frac_N	frac_P	frac_Q	frac_R	frac_S	frac_T	frac_V	frac_W	frac_Y
contractile	I	residue	ibaq_x_mw_within_tier1	2.553289056	2.553289056	scale_mhc	0.04857385741	0.01075130996	0.05992924362	0.1261046404	0.03841522809	0.02658141374	0.02080003387	0.05345277359	0.1010313847	0.0812498389	0.02771042012	0.03592760735	0.04136224331	0.04779196859	0.07309249763	0.04500736645	0.05015044443	0.05629071925	0.01572486026	0.04005214831
contractile	I	residue	ibaq_x_mw_within_tier1	2.553289056	2.553289056	scale_actin	0.04857385741	0.01075130996	0.05992924362	0.1261046404	0.03841522809	0.02658141374	0.02080003387	0.05345277359	0.1010313847	0.0812498389	0.02771042012	0.03592760735	0.04136224331	0.04779196859	0.07309249763	0.04500736645	0.05015044443	0.05629071925	0.01572486026	0.04005214831
contractile	I	residue	gel	1.555555556	2.553289056	scale_mhc	0.04817359823	0.01109708969	0.06050176353	0.1242685941	0.03846699247	0.02728690397	0.02077319659	0.05414362126	0.09975996995	0.07893081429	0.0274543218	0.03511635198	0.04369952203	0.04578455662	0.07251039142	0.04562999474	0.05109630451	0.05794662845	0.0163691729	0.04099021145
contractile	I	residue	gel	1.555555556	2.553289056	scale_actin	0.04860381936	0.01094622534	0.05995265775	0.1241733331	0.03859675733	0.02714140351	0.02121986258	0.0547893979	0.09895004218	0.08071485943	0.02879663726	0.03576906401	0.04149197104	0.04710568938	0.07280157431	0.04514313873	0.05087769295	0.05597029569	0.01582433586	0.0411312423
contractile	I	residue	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.553289056	scale_mhc	0.04900321232	0.01038039474	0.05931510597	0.128074153	0.03835970084	0.02582463987	0.02082882201	0.05271170667	0.1023952214	0.08373743855	0.02798513479	0.03679783468	0.03885506261	0.0499453038	0.07371691842	0.04433947793	0.04913582767	0.05451443833	0.0150337111	0.03904589527
contractile	I	residue	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.553289056	scale_actin	0.04855700926	0.01064170545	0.05991607743	0.1271906502	0.03831315084	0.02626652115	0.02056395642	0.05270116504	0.1022017621	0.08155066774	0.02709962014	0.03601675921	0.04128929501	0.04817787608	0.07325608919	0.0449310192	0.04974149914	0.05647089934	0.01566892329	0.03944535381
contractile	IIa	free	ibaq_x_mw_within_tier1	3.589586797	3.589586797	scale_mhc	0.05403616735	0.01110706342	0.05850096869	0.1257096963	0.03599622618	0.03038146033	0.02069320229	0.05489484222	0.09969846586	0.08159573244	0.02553211436	0.03500037862	0.03978727343	0.04881405085	0.06968954019	0.04736511314	0.0512001431	0.05731782484	0.01477171672	0.03790801968
contractile	IIa	free	ibaq_x_mw_within_tier1	3.589586797	3.589586797	scale_actin	0.05403616735	0.01110706342	0.05850096869	0.1257096963	0.03599622618	0.03038146033	0.02069320229	0.05489484222	0.09969846586	0.08159573244	0.02553211436	0.03500037862	0.03978727343	0.04881405085	0.06968954019	0.04736511314	0.0512001431	0.05731782484	0.01477171672	0.03790801968
contractile	IIa	free	gel	2.206060606	3.589586797	scale_mhc	0.05355601679	0.01145915602	0.05938272056	0.1232592522	0.03588795279	0.0313115955	0.02062103439	0.05545172006	0.09787700475	0.07917816961	0.02523276948	0.03433352288	0.04255489702	0.04628035788	0.0692755274	0.04831467665	0.0520500289	0.05937157708	0.0155605246	0.03904149548
contractile	IIa	free	gel	2.206060606	3.589586797	scale_actin	0.05399586627	0.0112682739	0.05857031052	0.1239802236	0.03619566584	0.03092061175	0.02102986479	0.0559874551	0.09790302827	0.08111039551	0.02652267738	0.03489742282	0.04000429917	0.04814943323	0.06946760632	0.04746203137	0.05182641653	0.05703250537	0.01485639557	0.03881951671
